z,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60,g61,g62,g63,g64,g65,g66,g67,g68,g69,g70,g71,g72,g73,g74,g75,g76,g77,g78,g79,g80,g81,g82,g83,g84,g85,g86,g87,g88,g89,g90,g91,g92,g93,g94,g95,g96,g97,g98,g99,g100
-2.577553463733344,0.23745527863502502,-0.10825669765472412,1.6929770708084106,0.32271695137023926,0.6643216609954834,0.2779127359390259,-0.9335794448852539,-0.5861037969589233,0.1993350386619568,-0.27346116304397583,-1.0258777141571045,0.07799246907234192,0.33661532402038574,0.43816035985946655,-0.05640065670013428,-0.1324056088924408,-0.5739833116531372,0.7640236020088196,-0.030508708208799362,-0.4606546461582184,0.8236973285675049,-0.6477982401847839,-0.8283529281616211,0.056139662861824036,-0.011142760515213013,0.32336169481277466,-0.4493519961833954,0.5469862222671509,-0.3526512384414673,0.22689181566238403,-0.4327305555343628,-0.2157970517873764,1.0802209377288818,0.8009271025657654,-0.3897401690483093,-0.7888658046722412,-0.25251325964927673,-0.5440956354141235,0.6448183059692383,0.4578564763069153,0.22486591339111328,-0.16958728432655334,0.48634999990463257,0.852245569229126,1.5913509130477905,0.3688461482524872,-0.4511108100414276,1.1958653926849365,0.4653843939304352,0.6830560564994812,-0.3288818299770355,0.09624072909355164,-0.16877245903015137,0.3388662040233612,0.15634751319885254,-0.9203940033912659,0.5306212902069092,-0.7814344763755798,-0.05530572682619095,-0.8585687875747681,-0.5377023816108704,-0.48258382081985474,-0.12836813926696777,-0.8088780045509338,-0.347220778465271,-0.48578932881355286,0.38243985176086426,0.5288734436035156,-0.25472915172576904,-0.08063647150993347,-0.7488574981689453,1.0070568323135376,-0.5942126512527466,-0.9071438908576965,0.6005057692527771,-0.01072656735777855,0.5258540511131287,0.8155306577682495,0.3430390954017639,0.6618690490722656,-0.23663149774074554,-0.8039612770080566,-0.7499105334281921,-0.3350819945335388,-0.16386088728904724,1.202001929283142,0.14630602300167084,-0.1144561767578125,0.7102905511856079,0.3825876712799072,0.3547614514827728,-0.5507397651672363,1.133122444152832,0.3354465365409851,1.5466758012771606,0.7933831214904785,-0.815418541431427,-0.9919880628585815,-0.3443670868873596,-0.7041804790496826
-2.3282186283807236,0.04964098334312439,0.09131443500518799,1.6147477626800537,0.31761497259140015,0.41874444484710693,0.27877679467201233,-0.8045840859413147,-0.5263630151748657,0.12614618241786957,-0.18979378044605255,-1.0710718631744385,0.26301613450050354,0.43115922808647156,0.45907753705978394,0.04424281418323517,0.045644793659448624,-0.5454967617988586,0.5978600382804871,-0.007865391671657562,-0.4336400330066681,0.7333542704582214,-0.5722293257713318,-0.7774479389190674,-0.010566920042037964,-0.08627872169017792,0.17077593505382538,-0.3723297119140625,0.4092421531677246,-0.22074173390865326,0.3084295392036438,-0.3271988034248352,-0.2992522716522217,0.9280654191970825,0.5837569236755371,-0.3590504229068756,-0.7474192976951599,-0.14220377802848816,-0.5450676083564758,0.5635843276977539,0.33856576681137085,0.26998233795166016,-0.15080028772354126,0.3316650688648224,0.8463690280914307,1.3137588500976562,0.25540223717689514,-0.5768414735794067,1.064086675643921,0.482952743768692,0.5895969271659851,-0.22268250584602356,0.009729525074362755,-0.031245559453964233,0.41663113236427307,0.25661879777908325,-1.0069646835327148,0.5577135682106018,-0.7923008799552917,-0.2548413574695587,-0.783200204372406,-0.42618370056152344,-0.3544270992279053,-0.08772680163383484,-0.6174695491790771,-0.3293599486351013,-0.28828462958335876,0.42539113759994507,0.5323405265808105,-0.2219339907169342,-0.13760562241077423,-1.0588972568511963,0.8491609692573547,-0.613867998123169,-0.9129776358604431,0.5911356210708618,-0.09792141616344452,0.606774091720581,0.7275781631469727,0.18111315369606018,0.6797399520874023,-0.24405688047409058,-0.9401989579200745,-0.8211551308631897,-0.34767067432403564,-0.18664559721946716,1.1171143054962158,0.12620000541210175,-0.15258631110191345,0.6029708981513977,0.43458473682403564,0.4147409200668335,-0.4250776767730713,1.1271518468856812,0.2814622223377228,1.604434609413147,0.7393427491188049,-0.7573146224021912,-1.129028081893921,-0.21944358944892883,-0.5454071760177612
-2.172065188377434,-0.4204550087451935,0.590888261795044,1.4188683032989502,0.304735004901886,-0.19591762125492096,0.280844509601593,-0.48162221908569336,-0.3767506778240204,-0.05705847591161728,0.019535668194293976,-1.1840330362319946,0.7261214256286621,0.6677946448326111,0.5114448070526123,0.29607462882995605,0.4914550483226776,-0.4741959869861603,0.18215246498584747,0.048775121569633484,-0.36603274941444397,0.5072164535522461,-0.3831460475921631,-0.6499362587928772,-0.17748045921325684,-0.2743053138256073,-0.21107448637485504,-0.17947572469711304,0.06442933529615402,0.10934129357337952,0.5124320387840271,-0.06299290060997009,-0.5079944133758545,0.547269880771637,0.04021470621228218,-0.2822038531303406,-0.6435917615890503,0.13387180864810944,-0.5475086569786072,0.36026662588119507,0.03997066244482994,0.3829295039176941,-0.10355853289365768,-0.05546404421329498,0.8315346240997314,0.6189587712287903,-0.028617139905691147,-0.8914856910705566,0.7342065572738647,0.5268906354904175,0.3556278645992279,0.04316258430480957,-0.20678968727588654,0.3130260705947876,0.6112862229347229,0.5076291561126709,-1.2235959768295288,0.6255872845649719,-0.8193888068199158,-0.7541890144348145,-0.5945456624031067,-0.14686748385429382,-0.033586882054805756,0.013987990096211433,-0.1382914036512375,-0.28452616930007935,0.20624087750911713,0.5329486727714539,0.5410407185554504,-0.13983869552612305,-0.28016260266304016,-1.8347210884094238,0.45387589931488037,-0.66318678855896,-0.9275727868080139,0.5676149129867554,-0.3161326050758362,0.8093668222427368,0.5075006484985352,-0.22415375709533691,0.7244029641151428,-0.2625914216041565,-1.2811682224273682,-0.9995204210281372,-0.37903326749801636,-0.2436293065547943,0.9045041799545288,0.07593919336795807,-0.24805843830108643,0.3344224989414215,0.5647704601287842,0.5647804737091064,-0.1105087548494339,1.1120139360427856,0.14625562727451324,1.748958706855774,0.6040713787078857,-0.6119434833526611,-1.4719146490097046,0.09317412227392197,-0.14789488911628723
-2.0558083275969063,-0.5676140785217285,0.7472743391990662,1.3574401140213013,0.3007237911224365,-0.3884289264678955,0.281509131193161,-0.38051682710647583,-0.329967737197876,-0.11438324302434921,0.08517318964004517,-1.2193610668182373,0.8711118698120117,0.7418318390846252,0.5278307199478149,0.3749268054962158,0.6309570670127869,-0.4518473148345947,0.051926255226135254,0.06650365889072418,-0.344860315322876,0.43632957339286804,-0.3238956928253174,-0.6100631952285767,-0.22972390055656433,-0.33315253257751465,-0.3306437134742737,-0.11905521899461746,-0.0436093844473362,0.21273288130760193,0.5762829184532166,0.019752085208892822,-0.5733977556228638,0.4279561936855316,-0.13001178205013275,-0.2581755816936493,-0.611103355884552,0.22031457722187042,-0.5482366681098938,0.2965802550315857,-0.05352867394685745,0.41820791363716125,-0.08885500580072403,-0.17668449878692627,0.8269069790840149,0.40143129229545593,-0.11750783026218414,-0.9899574518203735,0.6308653950691223,0.5406714677810669,0.2823393940925598,0.12639907002449036,-0.2745024561882019,0.4208451807498932,0.6721919178962708,0.5862389802932739,-1.2912923097610474,0.6467970013618469,-0.8278111219406128,-0.9104553461074829,-0.5353967547416687,-0.059447020292282104,0.06685593724250793,0.04577786475419998,0.011734869331121445,-0.2705409526824951,0.36104816198349,0.5665895342826843,0.543765127658844,-0.11405473947525024,-0.3247540295124054,-2.077630043029785,0.3300933837890625,-0.678539514541626,-0.9320964217185974,0.5602049231529236,-0.3844526708126068,0.8726928234100342,0.4385468363761902,-0.35105040669441223,0.7384098172187805,-0.26839905977249146,-1.387892246246338,-1.0553182363510132,-0.38887709379196167,-0.2614065408706665,0.8378664255142212,0.06015881150960922,-0.2779608368873596,0.2502540349960327,0.6054422855377197,0.6116898655891418,-0.011867716908454895,1.1072287559509277,0.10387608408927917,1.7941352128982544,0.5616588592529297,-0.5663000345230103,-1.5792438983917236,0.19110573828220367,-0.023425310850143433
-1.9620965565587878,-0.5888636708259583,0.7698618173599243,1.348322868347168,0.30017316341400146,-0.41643446683883667,0.2816283106803894,-0.365894079208374,-0.3233119249343872,-0.12260734289884567,0.09487202763557434,-1.2243674993515015,0.892090380191803,0.752437174320221,0.5301827192306519,0.38634192943573,0.6510061025619507,-0.4485589861869812,0.03295201063156128,0.06905373930931091,-0.34178727865219116,0.42588484287261963,-0.3152220845222473,-0.6043846011161804,-0.23724433779716492,-0.3416171967983246,-0.34797242283821106,-0.11021453142166138,-0.05942732095718384,0.22778403759002686,0.5854687690734863,0.03179067373275757,-0.58294677734375,0.410500168800354,-0.15475015342235565,-0.2547614276409149,-0.6064295768737793,0.2328350991010666,-0.5482661724090576,0.2873004078865051,-0.0670897364616394,0.423136830329895,-0.08688236027956009,-0.19425275921821594,0.8262555003166199,0.3699648678302765,-0.13031280040740967,-1.0041155815124512,0.6157759428024292,0.54271399974823,0.2716495096683502,0.13845764100551605,-0.2841348946094513,0.4365239441394806,0.6809247136116028,0.5976669192314148,-1.3008060455322266,0.6497880816459656,-0.8288880586624146,-0.932900071144104,-0.5266565084457397,-0.046832382678985596,0.08138338476419449,0.05025744438171387,0.0334625281393528,-0.2686094641685486,0.38342925906181335,0.5713928937911987,0.544163703918457,-0.1101481020450592,-0.3311133086681366,-2.112771987915039,0.3121181130409241,-0.6805899143218994,-0.9326516389846802,0.5590233206748962,-0.39433661103248596,0.8816436529159546,0.428470641374588,-0.369437575340271,0.7404780387878418,-0.269242525100708,-1.4032708406448364,-1.0633004903793335,-0.3903328478336334,-0.2638355493545532,0.8280476927757263,0.05778886377811432,-0.2823171019554138,0.2378915697336197,0.6111456751823425,0.6183240413665771,0.002743735909461975,1.1064097881317139,0.0976267158985138,1.800512433052063,0.5553887486457825,-0.5594260692596436,-1.5947071313858032,0.20538684725761414,-0.005366802215576172
-1.882991701835598,-0.5925347208976746,0.7737805843353271,1.3463051319122314,0.3001129627227783,-0.4216347932815552,0.2816762924194336,-0.3633164167404175,-0.32232633233070374,-0.12393564730882645,0.09692303836345673,-1.2250444889068604,0.8957886695861816,0.7541180849075317,0.5305660367012024,0.38835471868515015,0.6543241143226624,-0.44788411259651184,0.02940451353788376,0.0694722831249237,-0.3412318527698517,0.4237133860588074,-0.3135262727737427,-0.6035295128822327,-0.23849457502365112,-0.34301668405532837,-0.35106632113456726,-0.10847459733486176,-0.06254669278860092,0.2305862009525299,0.5869845151901245,0.03403732180595398,-0.5847612619400024,0.40709301829338074,-0.15929622948169708,-0.2542651295661926,-0.60564124584198,0.23506084084510803,-0.5481407046318054,0.2855519652366638,-0.06953933835029602,0.4237022399902344,-0.0867752656340599,-0.19739311933517456,0.8261561989784241,0.36443397402763367,-0.13247978687286377,-1.0064470767974854,0.6128711104393005,0.543155312538147,0.26960816979408264,0.14061400294303894,-0.2855421304702759,0.4394312798976898,0.6823261380195618,0.5997804999351501,-1.301984190940857,0.650188148021698,-0.8288151025772095,-0.9365553259849548,-0.5247964262962341,-0.044643014669418335,0.0839424803853035,0.050835687667131424,0.03733976557850838,-0.2684131860733032,0.3873671591281891,0.5721349120140076,0.5442448854446411,-0.1091499924659729,-0.33206745982170105,-2.1189322471618652,0.3088254928588867,-0.6806695461273193,-0.9325752854347229,0.5586138963699341,-0.39607179164886475,0.8828585743904114,0.42653122544288635,-0.37272098660469055,0.7409070730209351,-0.2693900465965271,-1.4058679342269897,-1.0645548105239868,-0.3906243145465851,-0.26400595903396606,0.8259888887405396,0.05722758173942566,-0.2831413149833679,0.2353992760181427,0.6118386387825012,0.6192140579223633,0.005919158458709717,1.1060173511505127,0.09630728513002396,1.8013525009155273,0.5540481805801392,-0.5577515363693237,-1.597301721572876,0.2080901712179184,-0.0020825713872909546
-1.8141688045574798,-0.5933511853218079,0.7746822834014893,1.3451451063156128,0.3001471161842346,-0.42336905002593994,0.28172364830970764,-0.3626563549041748,-0.32236412167549133,-0.12408382445573807,0.0979718416929245,-1.224883794784546,0.8967300653457642,0.7542497515678406,0.5306150913238525,0.38886186480522156,0.6548410058021545,-0.44756433367729187,0.02820194512605667,0.06952771544456482,-0.34107205271720886,0.42264440655708313,-0.3128401041030884,-0.603533923625946,-0.23869004845619202,-0.34322452545166016,-0.3519077003002167,-0.1077432930469513,-0.06386055052280426,0.2315257489681244,0.5872018933296204,0.03480798006057739,-0.5854177474975586,0.40571486949920654,-0.16073916852474213,-0.2543022930622101,-0.6054908037185669,0.23565293848514557,-0.547906219959259,0.28493255376815796,-0.07025560736656189,0.4233737587928772,-0.08710754662752151,-0.19825479388237,0.8261468410491943,0.36305540800094604,-0.1328938603401184,-1.0067788362503052,0.6117474436759949,0.5433931350708008,0.2688394784927368,0.14121271669864655,-0.28544390201568604,0.44039827585220337,0.6824668645858765,0.6004756093025208,-1.301499605178833,0.6500959396362305,-0.8283773064613342,-0.9370068907737732,-0.5238238573074341,-0.04412616789340973,0.0845940113067627,0.05065122991800308,0.03840503469109535,-0.26858001947402954,0.38836976885795593,0.5721643567085266,0.5442845225334167,-0.10841131210327148,-0.3320465087890625,-2.120429277420044,0.30778974294662476,-0.6802589893341064,-0.932283341884613,0.558189332485199,-0.3964991569519043,0.8826044201850891,0.42578989267349243,-0.3736192584037781,0.7411133050918579,-0.26942241191864014,-1.4063491821289062,-1.0646389722824097,-0.390741765499115,-0.26364201307296753,0.8249428272247314,0.05686458945274353,-0.2834412455558777,0.2342810481786728,0.6115286946296692,0.6189970970153809,0.007668539881706238,1.1055151224136353,0.09562401473522186,1.8011194467544556,0.5533381104469299,-0.5566076040267944,-1.5977482795715332,0.20906281471252441,-0.001080825924873352
-1.7530000992205506,-0.5935376882553101,0.7749371528625488,1.3437696695327759,0.3002241849899292,-0.4246644973754883,0.28178703784942627,-0.3623678684234619,-0.3227699100971222,-0.12388848513364792,0.09913042187690735,-1.2243555784225464,0.8971307873725891,0.7539021968841553,0.5305701494216919,0.38906747102737427,0.6546211838722229,-0.447227418422699,0.02729257196187973,0.06948035955429077,-0.3409811556339264,0.4214877188205719,-0.3122054934501648,-0.603834331035614,-0.23860332369804382,-0.3431093990802765,-0.3523344397544861,-0.10703738033771515,-0.06512784957885742,0.2322295606136322,0.5870615839958191,0.035408586263656616,-0.5859558582305908,0.40443673729896545,-0.16173960268497467,-0.25453945994377136,-0.6054918766021729,0.23593750596046448,-0.5475322008132935,0.2844325304031372,-0.07068681716918945,0.42259302735328674,-0.08772831410169601,-0.1987028419971466,0.8261600732803345,0.36251100897789,-0.1328849345445633,-1.0065617561340332,0.6107457280158997,0.5436644554138184,0.2681713402271271,0.1415364295244217,-0.28478071093559265,0.441119909286499,0.6822327971458435,0.6009861826896667,-1.3002246618270874,0.6497955322265625,-0.8276163935661316,-0.9365431666374207,-0.522731602191925,-0.043953269720077515,0.08487286418676376,0.050121426582336426,0.03896762803196907,-0.2689407467842102,0.38880348205566406,0.5719626545906067,0.5443280339241028,-0.10743755102157593,-0.3316773474216461,-2.120960235595703,0.30707788467407227,-0.6795042157173157,-0.9317882657051086,0.5575698018074036,-0.3966597318649292,0.8817327618598938,0.4251420199871063,-0.3740846514701843,0.7413308620452881,-0.26942718029022217,-1.4063085317611694,-1.0643572807312012,-0.3908439576625824,-0.26293042302131653,0.8237823247909546,0.05641315132379532,-0.2836923599243164,0.2331501990556717,0.6107367873191833,0.6182981729507446,0.009695246815681458,1.104745864868164,0.0948568657040596,1.8004114627838135,0.5525336861610413,-0.5551489591598511,-1.5976425409317017,0.20986008644104004,-0.0004242360591888428
-1.6977643930643624,-0.5935235619544983,0.7750107049942017,1.341791033744812,0.3003453016281128,-0.42625248432159424,0.281878262758255,-0.36213117837905884,-0.3234824240207672,-0.12347345799207687,0.10076303780078888,-1.223470687866211,0.8974495530128479,0.7532200813293457,0.5304686427116394,0.38921862840652466,0.6540085673332214,-0.4467589855194092,0.026178821921348572,0.06937068700790405,-0.34088847041130066,0.41986531019210815,-0.3113606572151184,-0.6043708920478821,-0.23836156725883484,-0.34281206130981445,-0.35273855924606323,-0.10607925057411194,-0.06684567034244537,0.2330912947654724,0.5867144465446472,0.03616061806678772,-0.5866397023200989,0.40272995829582214,-0.1629200130701065,-0.2549498379230499,-0.6055567264556885,0.23619422316551208,-0.5469613075256348,0.2837989926338196,-0.07115617394447327,0.42133083939552307,-0.08869633823633194,-0.19913703203201294,0.8261856436729431,0.3621244430541992,-0.1326923668384552,-1.0060282945632935,0.6094250082969666,0.5440510511398315,0.26729652285575867,0.14186321198940277,-0.28362956643104553,0.4420049786567688,0.6817514896392822,0.6016080975532532,-1.29813814163208,0.6492966413497925,-0.8264325857162476,-0.9355136156082153,-0.5211837291717529,-0.0438588410615921,0.08509602397680283,0.049247197806835175,0.03952503576874733,-0.26951563358306885,0.38915881514549255,0.5715892314910889,0.5443902611732483,-0.10600200295448303,-0.33102160692214966,-2.121269702911377,0.3062397837638855,-0.6783265471458435,-0.931023359298706,0.5566347241401672,-0.3967646658420563,0.8802759051322937,0.42429807782173157,-0.37453609704971313,0.7416335344314575,-0.2694210708141327,-1.4060299396514893,-1.063816785812378,-0.39097359776496887,-0.26180437207221985,0.8221403956413269,0.05575762689113617,-0.2840162515640259,0.2315967082977295,0.6094460487365723,0.6171321868896484,0.012593105435371399,1.1035726070404053,0.0937666967511177,1.7992379665374756,0.5513904094696045,-0.5530179738998413,-1.5972596406936646,0.21087530255317688,0.00033143162727355957
-1.6472703590545148,-0.5934014320373535,0.7750157117843628,1.338854432106018,0.30052661895751953,-0.4285104274749756,0.2820117473602295,-0.3618435859680176,-0.3245849609375,-0.12280916422605515,0.10317195951938629,-1.2221102714538574,0.8978309631347656,0.7521420121192932,0.5303046703338623,0.38939008116722107,0.6529955863952637,-0.4460701644420624,0.02460022270679474,0.06919257342815399,-0.34076642990112305,0.41747280955314636,-0.31013303995132446,-0.6052035093307495,-0.2379595935344696,-0.34232297539711,-0.35326090455055237,-0.10467706620693207,-0.06935757398605347,0.2343149185180664,0.58614581823349,0.03723761439323425,-0.5876201391220093,0.4002457559108734,-0.16457810997962952,-0.25558340549468994,-0.6056745648384094,0.2365192472934723,-0.5461033582687378,0.2828899621963501,-0.07179892063140869,0.4194090664386749,-0.09015540033578873,-0.19970422983169556,0.8262243866920471,0.36169445514678955,-0.13234253227710724,-1.0051567554473877,0.60750812292099,0.544623613357544,0.2660278081893921,0.14229899644851685,-0.281850665807724,0.4432642459869385,0.6809850335121155,0.602491021156311,-1.2949506044387817,0.6485335230827332,-0.8246423006057739,-0.9338542222976685,-0.5188954472541809,-0.043770790100097656,0.08536321669816971,0.04790974035859108,0.04026288166642189,-0.2703869938850403,0.38959264755249023,0.5710066556930542,0.5444828271865845,-0.10385915637016296,-0.3300033509731293,-2.1215617656707764,0.3050619959831238,-0.6765487790107727,-0.9298693537712097,0.5552297830581665,-0.39687445759773254,0.8780427575111389,0.42307978868484497,-0.3751271665096283,0.7420785427093506,-0.269406795501709,-1.405537724494934,-1.0629676580429077,-0.3911568522453308,-0.2600952982902527,0.8197113871574402,0.05478334426879883,-0.28448376059532166,0.22931861877441406,0.6074768900871277,0.615343451499939,0.016889065504074097,1.1018038988113403,0.09215184301137924,1.7974408864974976,0.5496980547904968,-0.5498459339141846,-1.5966073274612427,0.2123330533504486,0.001387760043144226
